velocity_ms,range_m,elevation_mil,drift_mil
453,10200.0,1073.5,53.4
346,5000.0,265.8,5.4
453,8100.0,340.0,8.4
380,6300.0,1238.1,91.2
659,8900.0,175.9,5.5
346,7800.0,1054.1,45.8
544,10200.0,345.2,10.0
659,16300.0,557.9,19.6
453,7800.0,321.4,7.9
659,14600.0,435.9,14.6
544,1800.0,33.8,0.9
659,14000.0,400.1,13.3
320,7700.0,596.2,14.3
380,1600.0,61.6,1.3
380,3400.0,145.1,3.0
346,6400.0,368.6,8.0
346,6200.0,352.5,7.5
346,2200.0,102.7,1.9
286,600.0,37.2,0.7
286,4400.0,322.3,6.6
544,8800.0,270.8,7.7
453,5300.0,186.6,4.4
544,12500.0,499.1,15.3
380,2200.0,87.8,1.8
320,6200.0,403.4,8.5
380,8400.0,1079.9,50.8
380,9000.0,1014.1,42.3
544,11400.0,419.0,12.4
659,200.0,2.4,0.1
286,4800.0,1188.9,67.6
544,13700.0,974.9,45.3
286,5000.0,383.0,8.1
544,13600.0,603.5,19.6
346,7600.0,1076.6,48.8
659,8600.0,166.3,5.2
286,4900.0,372.3,7.8
346,6200.0,1200.9,74.2
544,9300.0,1238.0,110.9
320,4400.0,256.5,5.0
380,4000.0,176.3,3.7
320,6900.0,478.0,10.5
320,7800.0,616.8,15.0
380,9400.0,610.2,16.1
453,1300.0,34.5,0.8
346,6400.0,1185.6,69.8
659,10700.0,241.3,7.7
453,5800.0,210.9,5.0
659,15400.0,488.7,16.7
544,1900.0,35.9,1.0
544,5000.0,116.8,3.2
453,1600.0,43.4,1.0
346,900.0,39.5,0.8
380,5000.0,232.1,4.9
453,3100.0,93.5,2.2
544,9300.0,296.1,8.4
453,6900.0,1268.9,121.5
544,9400.0,1234.1,108.3
380,9100.0,564.6,14.4
247,3400.0,1228.2,84.0
247,3000.0,279.3,5.7
320,5300.0,324.4,6.5
380,7700.0,1141.3,61.5
286,4700.0,1198.8,70.5
659,4000.0,57.0,1.7
380,100.0,3.6,0.1
247,400.0,32.9,0.6
380,5500.0,1282.0,123.5
453,4300.0,141.4,3.4
659,8500.0,163.1,5.1
346,8000.0,1029.7,42.8
659,15900.0,1061.8,61.1
544,900.0,16.0,0.4
380,5300.0,249.9,5.3
346,1500.0,67.7,1.3
380,7400.0,394.1,9.0
346,7100.0,430.1,9.6
659,13800.0,1163.3,84.5
247,600.0,49.7,1.0
286,2300.0,151.1,2.9
453,7100.0,280.1,6.8
380,7200.0,378.4,8.6
380,5900.0,287.3,6.2
544,7700.0,219.4,6.2
346,2900.0,139.7,2.7
346,8900.0,713.2,19.8
659,17500.0,689.4,26.1
320,4500.0,1279.9,112.6
453,7200.0,1255.7,110.2
380,8100.0,454.3,10.8
453,11800.0,850.7,30.4
659,4100.0,58.8,1.8
247,4800.0,548.4,12.9
247,4800.0,1011.9,39.1
659,11600.0,279.2,9.0
320,3300.0,182.9,3.4
247,1300.0,110.5,2.2
380,7100.0,1186.2,72.2
453,7500.0,1241.8,100.9
320,8100.0,845.4,25.7
380,1100.0,41.0,0.8
544,2500.0,49.1,1.3
659,11500.0,1241.7,127.0
380,8500.0,493.7,12.0
659,2400.0,31.2,0.9
659,14700.0,442.2,14.9
346,5700.0,1236.3,87.4
453,11100.0,593.5,16.9
453,5200.0,181.8,4.3
659,13800.0,388.7,12.9
453,700.0,17.9,0.4
659,11800.0,288.2,9.3
320,6800.0,1086.1,47.8
380,8600.0,504.3,12.4
320,5000.0,1246.6,88.6
659,3700.0,51.8,1.5
247,300.0,24.6,0.5
247,700.0,58.2,1.1
346,1200.0,53.4,1.0
659,8000.0,148.1,4.6
453,1900.0,52.6,1.2
659,15300.0,1095.1,67.2
453,5100.0,177.1,4.2
320,3700.0,208.7,3.9
346,7300.0,449.6,10.2
247,2800.0,257.2,5.2
659,15700.0,510.4,17.6
346,6900.0,411.5,9.1
659,1900.0,24.1,0.7
544,4900.0,113.6,3.1
659,7200.0,126.0,3.9
380,5300.0,1291.6,135.9
544,200.0,3.5,0.1
380,8600.0,1059.7,47.9
346,5100.0,272.5,5.6
659,10100.0,218.0,7.0
346,8800.0,885.1,29.6
320,6000.0,384.5,8.0
320,7700.0,957.4,33.7
247,2600.0,235.8,4.8
346,3700.0,184.8,3.6
453,10000.0,1089.7,56.0
247,3800.0,1179.5,66.2
346,1900.0,87.4,1.6
286,2900.0,195.5,3.8
659,16400.0,1029.6,56.0
247,4200.0,1122.6,53.9
544,10800.0,380.8,11.1
320,3500.0,195.7,3.7
286,3900.0,1268.5,105.3
453,300.0,7.5,0.2
380,7300.0,1171.9,68.4
544,9800.0,1218.0,99.2
247,5100.0,632.0,15.8
659,6100.0,99.1,3.0
544,1500.0,27.7,0.7
659,17700.0,894.6,40.6
659,17500.0,927.3,43.7
544,12300.0,483.3,14.7
544,5400.0,129.9,3.6
380,9500.0,939.2,34.9
544,3100.0,63.4,1.7
380,7000.0,363.3,8.2
659,15100.0,1105.3,69.3
346,2600.0,123.6,2.4
380,7500.0,402.2,9.3
544,13900.0,641.6,21.4
346,1700.0,77.5,1.5
659,16200.0,1043.0,58.1
659,2800.0,37.2,1.1
380,8300.0,473.4,11.4
659,1500.0,18.6,0.5
659,7500.0,134.0,4.2
380,2700.0,110.9,2.3
659,15600.0,503.0,17.3
247,4500.0,487.3,11.0
453,11400.0,637.1,18.7
286,1500.0,95.6,1.8
544,14000.0,937.8,41.4
346,8500.0,954.1,35.1
346,4900.0,1285.1,122.7
544,14300.0,885.4,36.6
320,7200.0,516.1,11.7
659,17200.0,962.9,47.5
346,8800.0,675.7,18.1
346,5300.0,1261.9,101.9
453,9400.0,1133.4,64.1
380,9700.0,672.5,18.7
544,9100.0,1245.5,116.3
380,8200.0,463.7,11.1
659,16700.0,594.1,21.2
453,11500.0,925.4,36.3
320,400.0,19.9,0.3
453,9000.0,400.5,10.2
380,3300.0,140.1,2.9
286,3300.0,226.8,4.5
346,5900.0,329.4,7.0
320,5100.0,1239.4,85.1
659,12900.0,340.7,11.1
453,6700.0,257.9,6.2
544,11100.0,399.5,11.7
320,2600.0,140.1,2.5
544,12900.0,1047.2,54.6
320,6200.0,1148.1,58.1
380,6700.0,341.4,7.6
544,6100.0,154.6,4.3
346,4000.0,202.6,4.0
453,9200.0,1146.7,67.1
544,8300.0,246.7,7.0
659,11100.0,257.7,8.3
320,500.0,24.9,0.4
286,4800.0,361.8,7.6
659,15800.0,1067.7,62.1
453,10600.0,535.7,14.7
453,6800.0,1273.0,125.8
286,300.0,18.4,0.3
380,7400.0,1164.5,66.6
544,6200.0,158.3,4.4
544,8800.0,1256.4,125.7
247,2900.0,1279.1,126.7
544,14000.0,656.2,22.1
286,6200.0,545.0,12.6
320,5600.0,349.2,7.1
346,800.0,34.9,0.7
544,10300.0,1196.4,89.6
544,13000.0,1039.5,53.5
346,4700.0,246.1,5.0
346,3500.0,173.2,3.4
320,7400.0,1008.3,38.5
659,1600.0,19.9,0.6
286,2000.0,129.9,2.5
380,8900.0,538.8,13.5
659,8800.0,172.6,5.4
544,13300.0,1014.3,50.0
453,4200.0,137.1,3.3
453,9300.0,422.6,10.9
659,10900.0,249.4,8.0
544,9500.0,306.6,8.8
544,2600.0,51.4,1.4
659,12800.0,1200.6,99.2
247,4700.0,1033.7,41.4
659,13000.0,345.8,11.3
544,1200.0,21.7,0.6
659,14600.0,1129.2,74.8
659,12000.0,297.3,9.6
659,12700.0,1204.1,100.9
346,300.0,12.8,0.2
320,5900.0,375.4,7.8
659,2500.0,32.7,1.0
544,14300.0,712.3,25.0
346,1300.0,58.1,1.1
380,8700.0,515.3,12.7
320,4200.0,1297.6,135.3
380,4600.0,209.2,4.4
346,6800.0,402.6,8.9
320,4900.0,1253.6,92.5
544,8000.0,232.8,6.5
659,13600.0,377.6,12.5
544,700.0,12.3,0.3
346,600.0,25.9,0.5
659,17400.0,674.3,25.2
380,9600.0,919.3,33.3
659,100.0,1.2,0.0
544,13500.0,995.6,47.7
659,14700.0,1124.6,73.7
320,5600.0,1200.8,70.8
544,2800.0,56.1,1.5
453,3500.0,108.7,2.6
247,5000.0,960.8,34.3
286,1700.0,109.1,2.1
453,7900.0,327.5,8.1
247,3100.0,1260.1,105.1
544,3700.0,78.8,2.1
380,1700.0,65.8,1.4
380,1400.0,53.2,1.1
544,8700.0,265.9,7.5
453,10100.0,1081.7,54.7
659,16100.0,541.4,18.9
247,5300.0,812.9,24.0
286,700.0,43.5,0.8
659,11200.0,261.9,8.4
286,500.0,30.9,0.6
380,2600.0,106.2,2.2
544,500.0,8.7,0.2
380,500.0,17.9,0.4
659,11000.0,1255.4,142.6
544,12200.0,475.6,14.4
346,7600.0,481.2,11.1
659,9600.0,199.7,6.3
453,4800.0,163.4,3.9
453,7600.0,1236.9,98.2
286,2700.0,180.4,3.5
380,8700.0,1049.1,46.5
659,3300.0,45.1,1.3
247,4600.0,506.2,11.6
320,7200.0,1036.8,41.6
453,8300.0,1200.6,82.3
320,5100.0,308.5,6.2
320,4300.0,1291.9,126.8
286,5200.0,405.3,8.7
659,13700.0,1167.3,85.8
346,6000.0,1215.5,79.0
286,3800.0,1276.0,112.4
544,7300.0,202.1,5.7
320,5700.0,357.8,7.3
659,15600.0,1079.0,64.1
247,1000.0,84.0,1.6
380,1800.0,70.1,1.5
544,11300.0,1147.7,74.2
346,6800.0,1153.0,62.0
453,6400.0,1288.8,147.2
544,12700.0,1062.1,56.9
380,2900.0,120.4,2.5
659,13000.0,1193.6,95.9
286,5100.0,1157.5,60.1
380,6100.0,300.3,6.5
659,13200.0,356.2,11.7
380,8000.0,445.1,10.5
286,6800.0,713.6,18.9
659,15700.0,1073.4,63.1
659,1200.0,14.7,0.4
453,2400.0,68.8,1.6
659,17600.0,706.5,27.0
247,800.0,66.7,1.3
544,8500.0,1266.6,136.8
544,9800.0,322.8,9.3
346,5200.0,1268.0,106.3
346,3000.0,145.2,2.8
659,12500.0,1210.8,104.5
544,10600.0,1182.6,84.5
320,6100.0,393.8,8.2
544,11000.0,1163.2,78.4
544,12200.0,1095.8,62.8
544,4400.0,98.4,2.7
544,7400.0,206.3,5.8
544,9000.0,280.8,8.0
380,7300.0,386.2,8.8
544,8200.0,242.0,6.8
453,8100.0,1211.4,86.4
544,2000.0,38.1,1.0
659,14800.0,1119.9,72.6
380,900.0,33.1,0.7
380,7600.0,410.4,9.5
659,2600.0,34.2,1.0
320,4600.0,270.8,5.3
659,9200.0,185.9,5.9
320,3400.0,189.3,3.5
286,200.0,12.3,0.2
286,5300.0,1135.0,55.6
453,3200.0,97.2,2.3
453,10600.0,1037.8,48.3
544,13200.0,561.0,17.7
286,4600.0,341.6,7.1
544,5100.0,120.0,3.3
346,7800.0,504.1,11.9
453,8800.0,1171.8,73.4
380,6400.0,320.4,7.0
544,11500.0,425.7,12.6
380,6200.0,1244.1,94.2
453,8900.0,1165.7,71.8
346,4700.0,1295.7,137.0
346,6700.0,393.8,8.6
247,100.0,8.2,0.2
346,5400.0,293.1,6.1
659,14500.0,429.7,14.4
380,4400.0,198.0,4.1
544,4600.0,104.4,2.9
544,2200.0,42.4,1.1
286,6500.0,946.0,32.8
380,1900.0,74.5,1.5
286,4200.0,303.6,6.2
659,7800.0,142.3,4.4
380,7500.0,1156.9,64.9
286,1300.0,82.3,1.5
659,15900.0,525.6,18.2
320,300.0,14.9,0.2
453,8200.0,346.4,8.6
346,8100.0,542.5,13.1
320,5700.0,1192.5,68.4
247,4900.0,987.9,36.7
286,4500.0,331.9,6.8
346,100.0,4.3,0.1
659,17100.0,972.9,48.6
346,2700.0,128.9,2.5
659,16500.0,1022.5,55.0
380,6000.0,293.7,6.4
544,10800.0,1173.1,81.4
544,13600.0,985.6,46.5
380,5800.0,280.9,6.1
346,3900.0,196.6,3.9
659,3000.0,40.3,1.2
286,6100.0,1025.2,40.3
247,2900.0,268.1,5.5
380,6800.0,1206.7,78.5
320,1500.0,77.5,1.4
659,9700.0,203.3,6.5
659,700.0,8.3,0.2
286,6400.0,584.2,13.9
453,10700.0,1028.0,47.0
286,6600.0,633.6,15.7
380,6900.0,1200.0,76.3
544,13700.0,615.4,20.1
453,10300.0,1065.0,52.1
380,5600.0,268.3,5.8
247,5100.0,928.8,31.7
659,4800.0,71.8,2.2
453,900.0,23.3,0.5
320,4900.0,293.1,5.8
320,3600.0,202.1,3.8
659,1300.0,16.0,0.5
286,4500.0,1217.7,76.8
544,13200.0,1023.0,51.2
544,100.0,1.8,0.0
659,3200.0,43.5,1.3
320,700.0,35.1,0.6
247,3500.0,1216.7,78.7
286,3100.0,211.0,4.1
544,10000.0,1209.6,95.2
380,9400.0,956.9,36.5
453,7700.0,1232.0,95.6
659,6500.0,108.4,3.3
659,15500.0,1084.5,65.2
380,5200.0,243.9,5.2
380,3700.0,160.5,3.3
247,2500.0,225.4,4.5
659,1000.0,12.1,0.3
544,11600.0,432.5,12.9
544,7000.0,189.6,5.3
659,6300.0,103.7,3.2
346,5700.0,314.6,6.6
659,7300.0,128.6,4.0
659,10400.0,229.5,7.3
346,6500.0,1177.7,67.7
380,2300.0,92.3,1.9
320,6400.0,423.1,9.0
544,2900.0,58.5,1.6
659,4700.0,69.9,2.1
380,1300.0,49.1,1.0
346,7100.0,1126.3,56.8
544,1000.0,17.9,0.5
286,6700.0,887.1,28.4
247,1900.0,165.9,3.3
544,8700.0,1259.9,129.1
544,8200.0,1276.2,150.2
453,1700.0,46.4,1.1
247,4500.0,1072.5,46.2
320,6800.0,466.3,10.2
659,14100.0,405.9,13.5
320,7100.0,502.8,11.3
544,9600.0,1226.2,103.6
346,5800.0,322.0,6.8
544,12000.0,460.8,13.9
544,8500.0,256.2,7.2
544,10600.0,368.6,10.7
453,11300.0,621.4,18.1
659,12100.0,301.9,9.8
380,8400.0,483.4,11.7
544,11600.0,1131.5,70.2
453,8600.0,1183.6,76.8
544,12700.0,515.6,15.9
380,2500.0,101.5,2.1
346,7000.0,1135.5,58.5
453,8000.0,333.7,8.3
544,13300.0,571.0,18.1
659,3100.0,41.9,1.2
346,6100.0,1208.2,76.5
346,8000.0,529.1,12.7
247,5200.0,673.1,17.4
659,13900.0,394.4,13.1
544,10700.0,1177.9,82.9
380,6000.0,1255.5,101.0
544,7100.0,193.7,5.4
453,3800.0,120.6,2.9
286,3600.0,1290.2,130.2
346,8200.0,1002.5,39.8
453,2300.0,65.5,1.5
453,2600.0,75.6,1.8
286,1200.0,75.7,1.4
659,15200.0,1100.3,68.3
380,5900.0,1261.1,104.8
544,11400.0,1142.4,72.8
544,11800.0,446.4,13.3
544,11700.0,439.4,13.1
247,1200.0,101.6,2.0
346,7200.0,439.7,9.9
